CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031500202734001QW0F;17/06/2022;3;0,204;;;R
ES0031500202734001QW0F;17/06/2022;4;0,163;;;R
ES0031500202734001QW0F;17/06/2022;5;0,168;;;R
ES0031500202734001QW0F;17/06/2022;6;0,151;;;R
ES0031500202734001QW0F;17/06/2022;7;0,189;;;R
ES0031500202734001QW0F;17/06/2022;8;0,253;;;R
ES0031500202734001QW0F;17/06/2022;9;0,158;;;R
ES0031500202734001QW0F;17/06/2022;10;0,145;;;R
ES0031500202734001QW0F;17/06/2022;11;0,166;;;R
ES0031500202734001QW0F;17/06/2022;12;0,146;;;R
ES0031500202734001QW0F;17/06/2022;13;0,131;;;R
ES0031500202734001QW0F;17/06/2022;14;0,205;;;R
ES0031500202734001QW0F;17/06/2022;15;0,295;;;R
ES0031500202734001QW0F;17/06/2022;16;0,158;;;R
ES0031500202734001QW0F;17/06/2022;17;0,143;;;R
ES0031500202734001QW0F;17/06/2022;18;0,198;;;R
ES0031500202734001QW0F;17/06/2022;19;0,162;;;R
ES0031500202734001QW0F;17/06/2022;20;0,14;;;R
ES0031500202734001QW0F;17/06/2022;21;0,183;;;R
ES0031500202734001QW0F;17/06/2022;22;0,303;;;R
ES0031500202734001QW0F;17/06/2022;23;0,359;;;R
ES0031500202734001QW0F;17/06/2022;24;0,385;;;R
ES0031500202734001QW0F;18/06/2022;1;0,257;;;R
ES0031500202734001QW0F;18/06/2022;2;0,531;;;R
ES0031500202734001QW0F;18/06/2022;3;0,384;;;R
ES0031500202734001QW0F;18/06/2022;4;0,15;;;R
ES0031500202734001QW0F;18/06/2022;5;0,164;;;R
ES0031500202734001QW0F;18/06/2022;6;0,165;;;R
ES0031500202734001QW0F;18/06/2022;7;0,14;;;R
ES0031500202734001QW0F;18/06/2022;8;0,202;;;R
ES0031500202734001QW0F;18/06/2022;9;0,158;;;R
ES0031500202734001QW0F;18/06/2022;10;0,155;;;R
ES0031500202734001QW0F;18/06/2022;11;0,148;;;R
ES0031500202734001QW0F;18/06/2022;12;0,133;;;R
ES0031500202734001QW0F;18/06/2022;13;0,167;;;R
ES0031500202734001QW0F;18/06/2022;14;0,179;;;R
ES0031500202734001QW0F;18/06/2022;15;0,368;;;R
ES0031500202734001QW0F;18/06/2022;16;0,565;;;R
ES0031500202734001QW0F;18/06/2022;17;0,373;;;R
ES0031500202734001QW0F;18/06/2022;18;0,437;;;R
ES0031500202734001QW0F;18/06/2022;19;0,336;;;R
ES0031500202734001QW0F;18/06/2022;20;0,316;;;R
ES0031500202734001QW0F;18/06/2022;21;0,308;;;R
ES0031500202734001QW0F;18/06/2022;22;0,193;;;R
ES0031500202734001QW0F;18/06/2022;23;0,186;;;R
ES0031500202734001QW0F;18/06/2022;24;0,177;;;R
